Bonne pratique,Organisation,Contacts et sources,Où agir ?,A quoi ca sert ?,Visuel d'appel à contribution,Dans une ville / région en particulier ?
Envoi d'un texte et commentaire de texte de philosophie chaque jour,FOUCAULD,foucauld.giuliani@hotmail.fr ,Depuis chez soi,Passer le temps intelligemment ,,
Dé-bloqués: Continuer de trouver des solutions et se mettre en action ensemble,MAKESENSE,"https://www.facebook.com/events/214346393257923/

Tous les mercredi à 14h sur ce lien: https://zoom.us/j/570382475?fbclid=IwAR17da5A6RTpgLL6Ig5SqnHoZwgQBAiu7L6z81gLPm5xpktZTwwfw0TblkU",Depuis chez soi,Passer le temps intelligemment ,,
Danser à 19h30 à notre fenêtre et rendre la quarantaine supportable,LES 10 MINUTES DU PEUPLE,https://www.facebook.com/groups/522098788734417/?fref=gs&dti=296525263749985&hc_location=group_dialog,Depuis chez soi,Passer le temps intelligemment ,,
Se former à la collecte de récits de vie auprès des proches avec GlobeConteur,GLOBE CONTEUR,"contact@globeconteur.org
www.globeconteur.org",Depuis chez soi,Passer le temps intelligemment ,,
S'inscrire à la communauté XR Extinction Rebellion,XR - EXTINCTION REBELLION,https://t.me/s/XR_RDVregeneration,Depuis chez soi,Passer le temps intelligemment ,,
"La chaîne QuaranstreamFR streame presque en continu de 10h à minuit, des jeux vidéo(runs, multi...), des documentaires, anime des tables rondes, et a lancé une cagnotte pour soutenir la Fondation AP-HP",QUARANSTREAMFR,"La chaîne: twitch.tv/quaranstreamFR
La cagnotte: https://utip.io/quaranstream

",Depuis chez soi,Passer le temps intelligemment ,1500x500.jfif (https://dl.airtable.com/.attachments/aee2c4782faefaafc799c95975e2aa3e/1bbeeb40/1500x500.jfif),
Mettre le processeur de son PC au service de la recherche,FOLDING,https://foldingathome.org,Depuis chez soi,Passer le temps intelligemment ,,
Des énigmes en ligne pour aider la recherche,FOLDIT,https://fold.it,Depuis chez soi,Passer le temps intelligemment ,,
"Co-créons la société post covid19 via un forum ouvert en ligne: Ce petit virus a retiré la vie à beaucoup d'Humains. C'est un fait tragique. Le côté lumineux de cette situation est que ce même petit virus a réussi l'exploit inouï de mettre l'économie en pause. Non seulement cela mais ce même virus nous a confiné chez nous pendant plusieurs semaines. Ce faisant il nous offre un temps précieux pour réfléchir, se reposer, être inspiré et se poser des questions existentielles du genre : Dans quelle société mais-je envie de vivre? Nous avons une opportunité sans précédent...le monde est à l'arrêt. Avons-nous envie de redémarer le même monde après la crise? Ou avons nous envie d'en profiter pour faire un bilan et changer les fondements de notre civilisation...? C'est le sujet de cette vidéo : Co-créons ensemble la société post covid-19",NICOLAS BRIET,"https://youtu.be/WItNX2iEu50?fbclid=IwAR1IlhIULehRLXeHwBs4kPhpJ0NLwaiDaZFpKwWZlfjAuRrlcny6ISxTCok
mon mail :
nicolasbriet@yahoo.co.uk",Depuis chez soi,Passer le temps intelligemment ,,La zone francophone
Participer à l'étude scientifique qui évalue les risques sociaux et les adaptations mises en oeuvre par chacun.e d'entre nous face au COVID 19.,INSTITUT ADAPTATION,https://adaptation-institute.com/grande-enquete-covid-19/ ,Depuis chez soi,Passer le temps intelligemment ,,
"Remercier les éboueurs: Afficher un simple mot avec ""Merci"" vers ses poubelles",EBOUEURS,A la portée de chacun,Depuis chez soi,Passer le temps intelligemment ,,
"Conseils, contacts, financement : trouve de l'aide pour ton projet. La plateforme collaborative wweeddoo.com pour les projets des jeunes permet de rendre visible son initiative et de trouver de l'aide : contacts, conseils, financements. En ce moment, bénéficiez de soutiens sur votre projet contre le coronavirus avec l'appel à projets ""Jeunes et Solidaires"".",WWEEDDOO,https://wweeddoo.com/,Depuis chez soi,Passer le temps intelligemment ,,
"Kit Voisins Solidaires: Mettre un panneau dans son hall d'entrée proposant des services (parler au téléphone, faire des blagues, porter le courrier, faire les courses (bien préciser ""en respectant toutes les consignes de sécurité)) ",VOISINS SOLIDAIRES,https://voisinssolidaires.fr/?fbclid=IwAR0x-jhMCNTVZnKx9NC0rScl7EoymKmc1lk2t7un9evbZr82ohf-Di0Hr9s%2A,Aux alentours de chez soi,Lutter contre l'isolement,,
Mettre des affiches pour entraide entre voisins,ENTRAIDECOVID,"www.entraidecovid19.fr
Isabelle Huynh
contact@entraidecovid19.fr",Aux alentours de chez soi,Lutter contre l'isolement,Affiche_A4_V1.1.jpg (https://dl.airtable.com/.attachments/e3386d89bd8f8da80c6195cb96e9dc07/19e14782/Affiche_A4_V1.1.jpg),
"Ecrire à des détenu-es (parce qu'inévitablement, les visites et les ateliers vont devoir être suspendus)",CHAMPS LIBRE,"CHAMPS LIBRE 
mailien.nguyenduy@gmail.com / Champ libre va lancer une vague pour les détenus dont on a le contact
ou alors : https://www.courrierdebovet.org",Depuis chez soi,Lutter contre l'isolement,,
Parlapapi: Envoyer des nouvelles aux grands parents,PARLAPAPI,https://parlapapi.com/products/oui-au-confinement-non-a-lisolement,Depuis chez soi,Lutter contre l'isolement,,
Le défi FEEL GOOD de l'association Kabubu,KABUBU,"Défis et tutos sportifs pour rester actifs et partager ses exploits !

Ici le groupe WhatsApp dédié : 
https://chat.whatsapp.com/JDArdVyOdJa8KzBbcxBCcI

Et premier défi : https://www.facebook.com/kabubu.org/videos/1510338655797735/",Depuis chez soi,Lutter contre l'isolement,,
