n°,titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
1,Listing visières de protection,recensement des projets de visières,SANTE,PROTECTION,LISTE/INITIATIVE,MAKERS/VISIERE,GROUPE,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_visiere_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
2,Des cartos pour les makers,liste carto pour les makers,INFOS,HELP,LISTE/INITIATIVE,CARTO,ASSO,,https://pad.degrowth.net/covid19-carto-makers,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_carto_2.png,-,,oui,fr,JPy,NR,,NON,
3,COVID19: développeurs/datascientistes - comment aider ?,Des développeurs et datascientistes se mobilisent pour aider dans la lutte contre le COVID19 (Coronavirus.) Cette page vous aide à vous y retrouver.,DATA,HELP/DEV,LISTE/INITIATIVE,STAT,INDIVIDU,,https://bzg.fr/covid19-developpeurs-datascientistes-comment-aider/,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_stat_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
4,Pad diverses Ressources COVID,-,INFOS,SCIENCE,LISTE/INITIATIVE,INFO,GROUPE,,https://etherpad.wikimedia.org/p/covid19resources,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_info_2.png?raw=true,-,,oui,en,JPy,NR,,OUI,
5,Makers for life,-,SANTE,-,INITIATIVE/DIY,RESPIRATEUR_VENTILATOR/MAKERS,GROUPE,,https://docs.google.com/document/d/16GDm0yiQM85stHgQlaYfPcS1Y6g9GwhGpb4Ofgsrmy8/edit,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_ventilateur_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
6,Liste matériels DIY,-,SANTE,-,LISTE/INITIATIVE/DIY,MAKERS/INFO,-,,https://lite.framacalc.org/9fl0-8k1n6ifpms,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png?raw=true,-,,oui,fr,JPy,NR,,NON,
7,Makers projects,-,SANTE,-,LISTE/INITIATIVE/DIY,MAKERS,INDIVIDU,,"https://www.notion.so/af31d3adfff541a18dd6336e16fd223b?v=1d3b06185a42422f9515011cbad7af12
",,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png,-,,oui,fr,JPy,NR,,OUI,
8,Discord Makers,-,SANTE/HELP/DATA,-,GROUPE/LISTE/INITIATIVE,DIY/GEL/RESPIRATEUR/VISIERE/MASQUE_TISSU/MASQUE_I3D/MAKERS,INDIVIDU,,"https://pad.degrowth.net/0BDaA2_PQkeO56ScMHYLjA?view#
",,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
9,COVID data scraped,-,DATA,HELP/DEV,REPO/INITIATIVE/DATA,INFO,INSTITUTION,,https://github.com/lazd/coronadatascraper,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_info_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
10,Slack covid ,-,SANTE,-,GROUPE/INITIATIVE,MAKERS,-,,"https://app.slack.com/client/TUU48M0T1/C0104ANKV4L/thread/C0104ANKV4L-1584868485.232300
",,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png,-,,oui,fr,JPy,NR,,OUI,
