💎 Titre,🏡 Organisation concernée,🎨 Compétences concernées (il n'est pas nécessaire de toutes les avoir !),💥 Engagement minimal demandé,📐 Détails,🖐 J'AGIS
💪 Mission disponible | Participer au développement d'une plateforme pour aider les entreprises à passer la crise,AntiCovid.io,"Compréhension de besoin et conception produit,Développement tech - plutôt dev,Création de contenus","Ponctuel, à la demande","Enjeux du projet : éviter que beaucoup de petites et moyennes entreprises mettent la clé sous la porte à cause de la crise par manque d'information et d'accompagnement.
Bénéficiaires du projet : les entrepreneurs indépendants, start-up, PME
Forme de l'outil : Appli web et mobile -> anticovid.io

Les tâches proposées :
-Améliorer la plateforme solidaire (UX, contenu, blog, feedback des utilisateurs) 
- Aider à communiquer un maximum dessus pour avoir le plus d'impact positif possible
- Les taches (tech et marketing) sont découpées et mise dans Airtable :), chaque bénévole choisit ce qui lui plait",👉 Envoyer un mail à contact@anticovid.io.
"💲 Appel aux dons - Siel Bleu | Ensemble, boxons le Coronavirus !",Siel Bleu,Appel aux dons,"Ponctuel, à la demande","Pour qu'un virus n'empêche pas Siel Bleu d'accompagner les plus fragiles pour le siècle à venir...

Depuis 22 ans, l'Association Siel Bleu accompagne les plus fragiles pour leur redonner le sourire et améliorer leur santé avec des solutions préventives universelles (l'activité physique adaptée, la diététique et les soins de supports au sens large).

Aujourd'hui, un grain de sable inattendu met en péril cette aventure et les 700 Sielbleusiens qui se lèvent le matin pour mettre en mouvement 140 000 personnes qui en ont besoin.

Ce grain de sable, c'est le COVID-19. Depuis son arrivée en France, les mesures de protection des plus fragiles et le confinement empêchent Siel Bleu d'intervenir auprès des personnes dans les Maisons de Retraite et tous les lieux où l'association agit.

Comme notre président l'a dit : nous sommes en guerre... Alors partons au combat,  avec nos armes habituelles : le sourire, le mouvement, la douceur, le professionnalisme et la simplicité !  Soyons solidaires et inventons des manières douces de tenir pendant cette période. 

Soutenez-nous et mettons tout en oeuvre pour ajouter de la vie aux années aujourd'hui et pour les siècles à venir... Nous avons besoin de vous... plus que jamais !
Restons soudés et faisons un joli pied de nez au coronavirus, comme les grimaces de nos jeunes malades qui partent en séjour avec Siel Bleu... ",https://www.helloasso.com/associations/siel%20bleu/collectes/urgence-pour-le-sourire-siel-bleu
💪 Mission disponible | Développer une plateforme pour soulager la trésorerie des restaurateurs,Uni-médias (Bottin Gourmand) ,"Développement tech - plutôt dev,Compréhension de besoin et conception produit",Récurrent // voir 📐 Détails,"L'idée : une plateforme qui permettrait aux restaurateurs de proposer à leurs clients l’achat de « bon repas pour le futur » afin de leur dégager un peu de trésorerie en cette période difficile 

Il faudrait au plus vite monter une landing page avec formulaire ou plateforme qui permette aux restaurateurs de s’inscrire pour avoir un endroit où seront agrégés tous les restaurants participants à l’action. Il faut également trouver un moyen simple pour que les clients puissent payer ces  « bons repas » de manière dématerialisée avec le moins de frais possible. ",👉 Contacter latapiemarie@hotmail.fr
💪 Mission disponible | Une plateforme pour gérer la disponibilité des lits d'hôpital,Hacking Health Camp 2020,Développement tech - plutôt dev,"Ponctuel, à un horaire précis","23/03 :
Besoin urgent de devs pour un projet de plate-forme pour gérer les dispo des lits d'hôpital. Le projet cherche un dev back-end nodejs dispo au moins les 2 prochains jours, et un dev front angular dispo idéalement des demain matin pour une demi-journée environ.",👉 Rejoindre le Slack : http://bit.ly/2xHdgE9 (channel #realtimebedavailability)
✅ Mission accomplie | Créer une base documentaire sur le COVID-19 pour les professionnels de santé,Covid Data,"Développement tech - plutôt dev,Compréhension de besoin et conception produit",Récurrent // voir 📐 Détails,"23/03 :
Un projet soumis par un personnel hospitalier a besoin de devs ! Compétences recherchées : back et front web / bases de données. Ca pourrait sans doute être réalisé très vite en python django, mais d'autres technos sont possibles.
Il y a déjà un premier travail qui a été réalisé, mais qui ne répond pas tout à fait au besoin, en particulier en matière d'ergonomie. Deux options : refaire from scratch ou discuter avec ceux qui ont fait la première version pour modifier avec eux.

19/03 :
""Je recueille actuellement les recommandations des différentes sociétés savantes et les articles scientifiques médicaux sur le réseau de mon groupe hospitalier pour aider les médecins à accéder à l'information sans qu'ils aient besoin d'aller sur tout un tas de sites différents. La clinique privée, qui va venir en renfort, m'a déjà demandé si elle pouvait accéder à cette base documentaire.  Auriez-vous une solution à proposer pour mettre à disposition des médecins cette base documentaire ? A ce jour, j'ai un tableau Excel de synthèse des documents et des dossiers avec les documents en pdf.""","👉 Voir la première implémentation : https://covid-data.fr
👉 En parler sur Slack : https://dataagainstcovid-19.slack.com/join/shared_invite/zt-cgsplso2-LIvWeRHlf1ZFIrh~SPj~IA (channel #wp-knw-base-doc-medicale)"
"💲 Appel aux dons - Fondation de France | Solidarité pour aider les soignants, les chercheurs et les plus fragiles",Fondation de France,Appel aux dons,"Ponctuel, à la demande",,https://www.fondationdefrance.org/fr/coronavirus-mobilisation-fondation-de-france
💲 Appel aux dons - AP-HP | Fonds d’urgence Coronavirus Covid-19,AP-HP,Appel aux dons,"Ponctuel, à la demande",,https://soutenir.fondationaphp.fr/coronavirus/~mon-don
💪 Mission disponible | data against covid-19,https://veille-coronavirus.fr/,Développement tech - plutôt data,"Ponctuel, à la demande","L’enjeu de ce groupe est de :
A. Court terme: alerter la population sur l’état de la situation avec des chiffres fiables et précis
B. Long terme: constituer une base de donnée complète pour aider les médecins/chercheurs/épidémiologistes dans leur travail","👉 Contribuer au repo : https://github.com/opencovid19-fr
👉 Rejoindre le Slack : https://dataagainstcovid-19.slack.com/join/shared_invite/zt-cgsplso2-LIvWeRHlf1ZFIrh~SPj~IA"
💪 Mission disponible | Volontariat pour aider l'AP-HP pendant la crise COVID19,AP-HP,"Aucune compétence numérique nécessaire,Compétences numériques de base,Création de contenus,Développement tech - plutôt data","Ponctuel, à la demande",,👉 Remplir le formulaire d'appel à volontariat : https://forms.gle/kVaXZzLr86kev1RdA
"💪 Mission disponible | Design a low-cost, simple, easy-to-use and easy-to-build ventilator",Code Life Ventilator Challenge,"Compréhension de besoin et conception produit,Développement tech - plutôt 3D/hardware",Récurrent // voir 📐 Détails,"With potentially 70% of the population on the brink of being infected by COVID-19, our worldwide health care systems will be strained beyond their limits. Even now, there aren't enough ventilators to save everyone who needs respiratory support, and doctors are having to make agonizing decisions about who to save. Our modern world provides the means to produce these life-saving ventilators thanks to widespread rapid manufacturing tools—3D printers, CNC machines— combined with low-cost computers (i.e. smartphones, Arduinos, etc.), but what we're missing is a design.

We need YOU to design a simple, maintainable, easy-to-manufacture ventilator to provide life support to COVID patients anywhere in the world.

The top three designs will be available for free download to anyone who needs them, saving lives immediately.
Start now, we have no time to lose!​",👉 https://www.agorize.com/en/challenges/code-life-challenge
