Bonne pratique,Organisation,Contacts et sources,Où agir ?,A quoi ca sert ?,Visuel d'appel à contribution,Dans une ville / région en particulier ?
Dé-bloqués: Continuer de trouver des solutions et se mettre en action ensemble,MAKESENSE,"https://www.facebook.com/events/214346393257923/

Tous les mercredi à 14h sur ce lien: https://zoom.us/j/570382475?fbclid=IwAR17da5A6RTpgLL6Ig5SqnHoZwgQBAiu7L6z81gLPm5xpktZTwwfw0TblkU",Depuis chez soi,Passer le temps intelligemment ,,
Danser à 19h30 à notre fenêtre et rendre la quarantaine supportable,LES 10 MINUTES DU PEUPLE,https://www.facebook.com/groups/522098788734417/?fref=gs&dti=296525263749985&hc_location=group_dialog,Depuis chez soi,Passer le temps intelligemment ,,
Se former à la collecte de récits de vie auprès des proches avec GlobeConteur,GLOBE CONTEUR,"contact@globeconteur.org
www.globeconteur.org",Depuis chez soi,Passer le temps intelligemment ,,
S'inscrire à la communauté XR Extinction Rebellion,XR - EXTINCTION REBELLION,https://t.me/s/XR_RDVregeneration,Depuis chez soi,Passer le temps intelligemment ,,
"La chaîne QuaranstreamFR streame presque en continu de 10h à minuit, des jeux vidéo(runs, multi...), des documentaires, anime des tables rondes, et a lancé une cagnotte pour soutenir la Fondation AP-HP",QUARANSTREAMFR,"La chaîne: twitch.tv/quaranstreamFR
La cagnotte: https://utip.io/quaranstream

",Depuis chez soi,Passer le temps intelligemment ,1500x500.jfif (https://dl.airtable.com/.attachments/aee2c4782faefaafc799c95975e2aa3e/1bbeeb40/1500x500.jfif),
Mettre le processeur de son PC au service de la recherche,FOLDING,https://foldingathome.org,Depuis chez soi,Passer le temps intelligemment ,,
Des énigmes en ligne pour aider la recherche,FOLDIT,https://fold.it,Depuis chez soi,Passer le temps intelligemment ,,
"Co-créons la société post covid19 via un forum ouvert en ligne: Ce petit virus a retiré la vie à beaucoup d'Humains. C'est un fait tragique. Le côté lumineux de cette situation est que ce même petit virus a réussi l'exploit inouï de mettre l'économie en pause. Non seulement cela mais ce même virus nous a confiné chez nous pendant plusieurs semaines. Ce faisant il nous offre un temps précieux pour réfléchir, se reposer, être inspiré et se poser des questions existentielles du genre : Dans quelle société mais-je envie de vivre? Nous avons une opportunité sans précédent...le monde est à l'arrêt. Avons-nous envie de redémarer le même monde après la crise? Ou avons nous envie d'en profiter pour faire un bilan et changer les fondements de notre civilisation...? C'est le sujet de cette vidéo : Co-créons ensemble la société post covid-19",NICOLAS BRIET,"https://youtu.be/WItNX2iEu50?fbclid=IwAR1IlhIULehRLXeHwBs4kPhpJ0NLwaiDaZFpKwWZlfjAuRrlcny6ISxTCok
mon mail :
nicolasbriet@yahoo.co.uk",Depuis chez soi,Passer le temps intelligemment ,,La zone francophone
Participer à l'étude scientifique qui évalue les risques sociaux et les adaptations mises en oeuvre par chacun.e d'entre nous face au COVID 19.,INSTITUT ADAPTATION,https://adaptation-institute.com/grande-enquete-covid-19/ ,Depuis chez soi,Passer le temps intelligemment ,,
"Remercier les éboueurs: Afficher un simple mot avec ""Merci"" vers ses poubelles",EBOUEURS,A la portée de chacun,Depuis chez soi,Passer le temps intelligemment ,,
"Conseils, contacts, financement : trouve de l'aide pour ton projet. La plateforme collaborative wweeddoo.com pour les projets des jeunes permet de rendre visible son initiative et de trouver de l'aide : contacts, conseils, financements. En ce moment, bénéficiez de soutiens sur votre projet contre le coronavirus avec l'appel à projets ""Jeunes et Solidaires"".",WWEEDDOO,https://wweeddoo.com/,Depuis chez soi,Passer le temps intelligemment ,,
Accélérer la transition écologique dans le grand est ,CESER Grand est ,https://www.ceser-grandest.fr/forum-des-transitions/,Depuis chez soi,Passer le temps intelligemment ,,Grand est 
"Actualités en sciences, alimentation et santé, uniquement basé sur des publications scientifiques !",QUOI DANS MON ASSIETTE,https://quoidansmonassiette.fr/,Depuis chez soi,Passer le temps intelligemment ,,
S'inscrire en tant que bénévole à la réserve civique,RESERVE CIVIQUE,https://covid19.reserve-civique.gouv.fr/,Aux alentours de chez soi,Passer le temps intelligemment ,,
Limiter le gaspillage alimentaire ,PHENIX,https://wearephenix.com/application-anti-gaspi/,Aux alentours de chez soi,Passer le temps intelligemment ,,
,,,,Passer le temps intelligemment ,,
